STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ALDI,1922075,5273,16615,A,6621 S COTTAGE GROVE AVE,60637,WOODLAWN,42,5,17031420800,170314208002008,1182742.1392861150,1861187.5499171098,41.7743058812,-87.6056480253,"(41.7743058812, -87.6056480253)"
ALDI #28,1519765,5273,15154,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,170316303002000,1155840.3646517831,1871594.2630114884,41.8034457131,-87.7039862718,"(41.8034457131, -87.7039862718)"
ALDI #30,1547427,5273,15154,A,3030 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,12,17031840800,170318408002012,1155473.0982119750,1884225.2534229610,41.8381141517,-87.7049944648,"(41.8381141517, -87.7049944648)"
ALDI #32,1975885,5273,16924,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,170318326002019,1168978.2443679120,1912136.7918219091,41.9144237141,-87.6546278430,"(41.9144237141, -87.654627843)"
ALDI #70,1997726,5273,18263,A,7627 S ASHLAND AVE,60620,AUBURN GRESHAM,71,17,17031710300,170317103001013,1167042.6177087335,1854021.3228374690,41.7549909175,-87.6634041558,"(41.7549909175, -87.6634041558)"
ALDI #79,1515471,5273,15150,A,7800 S SOUTH CHICAGO AVE,60619,AVALON PARK,45,5,17031834300,170318343002003,1187754.1554187404,1853373.5179388705,41.7527456405,-87.5875234853,"(41.7527456405, -87.5875234853)"
ALDI FOODS #91,13994,5273,15565,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,170312608001000,1150675.9209930329,1899694.8096007258,41.8806594115,-87.7221936689,"(41.8806594115, -87.7221936689)"
ALDI FOODS -STORE #04,13988,5273,12500,A,800 N KEDZIE AVE,60651,HUMBOLDT PARK,23,27,17031836600,170318366001013,1154853.9364104243,1905175.1424146097,41.8956153135,-87.7067053251,"(41.8956153135, -87.7067053251)"
ALDI FOODS STORE #2,14004,5273,15600,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,170311909001000,1144687.3239847084,1918165.8803331626,41.9314609382,-87.7437173070,"(41.9314609382, -87.743717307)"
ALDI FOODS STORE #26,13998,5273,15540,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170310707002008,1163612.4862687290,1917295.7316659729,41.9286950012,-87.6741950831,"(41.9286950012, -87.6741950831)"
ALDI FOODS STORE #30,14000,5273,14860,A,4030 W WRIGHTWOOD AVE,60639,LOGAN SQUARE,22,31,17031220702,170312207022005,1148929.3174837828,1917009.9500627306,41.9282078544,-87.7281585580,"(41.9282078544, -87.728158558)"
ALDI FOODS STORE #90B,13992,5273,15565,A,2828 N CENTRAL AVE,60634,BELMONT CRAGIN,19,31,17031190402,170311904022031,1138506.8607473110,1918378.1008481213,41.9321576791,-87.7664245988,"(41.9321576791, -87.7664245988)"
ALDI FOODS-STORE #27,13986,5273,12300,A,3363 N MILWAUKEE AVE,60641,IRVING PARK,16,30,17031161300,170311613002008,1148660.9768432340,1922173.9514245614,41.9423835134,-87.7290108595,"(41.9423835134, -87.7290108595)"
ALDI INC # 62,13984,5273,12646,A,6220 N CALIFORNIA AVE,60659,WEST RIDGE,2,50,17031020702,170310207022006,1156498.0657624612,1941267.1051094467,41.9946209588,-87.6996868624,"(41.9946209588, -87.6996868624)"
ALDI INC #06,13978,5273,14000,A,5001 N PULASKI RD,60630,ALBANY PARK,14,39,17031140302,170311403023005,1148863.3670136440,1932961.4189853633,41.9719812207,-87.7279868979,"(41.9719812207, -87.7279868979)"
ALDI INC #10,14002,5273,15540,A,4501 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001024,1150478.9061905383,1874473.0413310053,41.8114515422,-87.7235746544,"(41.8114515422, -87.7235746544)"
ALDI INC #53,13964,5273,13981,A,5775 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170315607002042,1141308.6934481813,1868917.7316582887,41.7963804895,-87.7573475722,"(41.7963804895, -87.7573475722)"
ALDI INC #58,13974,5273,12571,A,2431 W MONTROSE AVE,60618,NORTH CENTER,5,47,17031050300,170310503001001,1159231.7831367336,1929105.8955775986,41.9611940986,-87.6899669704,"(41.9611940986, -87.6899669704)"
ALDI INC #64,13976,5273,11760,A,1767 N MILWAUKEE AVE,60647,WEST TOWN,24,32,17031831000,170318310001003,1161475.2331590878,1911773.9936050177,41.9135877900,-87.6822028354,"(41.91358779, -87.6822028354)"
ALDI INC #83,13990,5273,16300,A,8333 S CICERO AVE,60652,ASHBURN,70,18,17031700302,170317003023005,1145926.5876773593,1848735.5912671510,41.7409110654,-87.7409228594,"(41.7409110654, -87.7409228594)"
ALDI INC #92,13996,5273,19410,A,620 W 63RD ST,60621,ENGLEWOOD,68,16,17031680900,170316809004003,1173102.9040376288,1863153.8616640214,41.7799200473,-87.6409255107,"(41.7799200473, -87.6409255107)"
ALDI INC STORE #16,1226990,5273,20848,A,1246 E 87TH ST,60619,AVALON PARK,45,8,17031834300,170318343005004,1186130.2220096055,1847590.6523845491,41.7369153460,-87.5936566218,"(41.736915346, -87.5936566218)"
ALDI INC STORE #62,14006,5273,9495,B,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,1164949.3459755136,1889411.8523639100,41.8521511995,-87.6700746019,"(41.8521511995, -87.6700746019)"
ALDI INC STORE #90,14008,5273,16340,A,9017 S HALSTED ST,60620,AUBURN GRESHAM,71,21,17031711500,170317115002037,1172597.8112495996,1845066.5303352005,41.7302972736,-87.6433090924,"(41.7302972736, -87.6433090924)"
ALDI INC STORE #95,14011,5273,37000,A,2333 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,170315103001005,1193541.8033401624,1842389.9894724449,41.7224662420,-87.5666730521,"(41.722466242, -87.5666730521)"
ALDI INC STORE 14,1242812,5273,15000,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,170318314002056,1138888.1602307956,1894751.1917158663,41.8673156479,-87.7655979430,"(41.8673156479, -87.765597943)"
ALDI INC. #96,1868821,5273,16117,A,821 W 115TH ST,60643,WEST PULLMAN,53,34,17031530300,170315303001000,1172808.5237505026,1828547.0195798823,41.6849606404,-87.6430223096,"(41.6849606404, -87.6430223096)"
ALDI INC.#94,14010,5273,10001,A,6025 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318350001001,1161445.9446337890,1864537.2371817017,41.7839658423,-87.6836233778,"(41.7839658423, -87.6836233778)"
ALDI'S,1817904,5273,11179,A,6520 W FULLERTON AVE,60707,BELMONT CRAGIN,19,36,17031831500,170318315001045,1132452.1031463856,1915278.7515644068,41.9237604017,-87.7887477626,"(41.9237604017, -87.7887477626)"
ALDI'S,1817903,5273,15255,A,4500 N BROADWAY,60640,UPTOWN,3,46,17031830700,170318307004004,1168297.6904874290,1930121.3669074054,41.9637889643,-87.6566064924,"(41.9637889643, -87.6566064924)"
ALDI'S # 26,1821323,5273,16550,A,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52,10,17031520100,170315201001079,1204788.0634884294,1835640.2919216119,41.7036623609,-87.5257124268,"(41.7036623609, -87.5257124268)"
ALDI'S #08,1743166,5273,16890,A,7333 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,170316910003005,1177594.9036083014,1856252.2602475984,41.7608808720,-87.6246657846,"(41.760880872, -87.6246657846)"
ALDI'S #47,1619769,5273,16370,A,1508 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318426002057,1167024.2971637463,1873608.6531364345,41.8087413884,-87.6629116285,"(41.8087413884, -87.6629116285)"
ALDI'S #93,1743165,5273,16890,A,7545 S WESTERN AVE,60620,ASHBURN,70,18,17031700100,170317001002053,1161731.5742264998,1854361.0761804902,41.7560350910,-87.6828583216,"(41.756035091, -87.6828583216)"
ALDI'S FOODS BELMONT,1975886,5273,18600,A,3320 W BELMONT AVE,60618,AVONDALE,21,35,17031831100,170318311001026,1153595.9276697107,1921123.8987191115,41.9394051879,-87.7109005918,"(41.9394051879, -87.7109005918)"
ALL STAR FOOD & LIQUOR,1922124,319069,4200,B,2911 S ARCHER AVE,60608,BRIDGEPORT,60,11,17031600700,170316007001000,1168263.5667718935,1885550.3656843523,41.8414840391,-87.6580219776,"(41.8414840391, -87.6580219776)"
ALLA'S FOOD,1068956,204849,3500,B,2024 E 93RD ST,60617,CALUMET HEIGHTS,48,8,17031480400,170314804004023,1191449.6829125532,1843746.8043554707,41.7262403487,-87.5742922611,"(41.7262403487, -87.5742922611)"
ALMUFLIHI FOOD & LIQUOR,62800,86373,4500,B,5404 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001039,1171851.2202830324,1868956.5354627836,41.7958707987,-87.6453441182,"(41.7958707987, -87.6453441182)"
AM-PM FOOD MART & CELLULAR,1093813,207399,3500,B,1924 E 87TH ST,60617,AVALON PARK,45,8,17031450300,170314503003028,1190653.5047070954,1847714.1113309641,41.7371462539,-87.5770809934,"(41.7371462539, -87.5770809934)"
ANAR INC,31219,14297,10001,A,935 E 79TH ST,60619,CHATHAM,44,8,17031440101,170314401011006,1183972.0905254784,1852784.3138003484,41.7512179339,-87.6014014102,"(41.7512179339, -87.6014014102)"
ANDYS FRUIT RANCH,1275209,3868,15000,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005008,1154227.4639737108,1931413.9453359076,41.9676291597,-87.7083036873,"(41.9676291597, -87.7083036873)"
ARISTA FOODS,1473367,271891,10000,A,112 N MAY ST,60607,NEAR WEST SIDE,28,27,17031833000,170318330002084,1168768.8265869268,1900830.1558192600,41.8834021216,-87.6557252931,"(41.8834021216, -87.6557252931)"
ARMITAGE PRODUCE INC,1771323,4469,14340,A,2007 N KIMBALL AVE,60647,LOGAN SQUARE,22,35,17031221100,170312211002029,1153421.1387810074,1913162.6717477250,41.9175624189,-87.7117551087,"(41.9175624189, -87.7117551087)"
AROUND THE CLOCK,15860,6777,3000,B,1605 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,170310102021000,1164071.3018968700,1950305.4360801177,42.0192651821,-87.6715720734,"(42.0192651821, -87.6715720734)"
ASHLAND FOOD AND LIQUORS,11636,5463,10001,A,1554 W 95TH ST,60643,WASHINGTON HEIGHTS,73,21,17031730201,170317302011018,1167375.7505407680,1841756.3725905512,41.7213269867,-87.6625336585,"(41.7213269867, -87.6625336585)"
ATHENS GROCERY,971,185,2600,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,170318331001028,1171063.7903605013,1898574.3962069643,41.8771621281,-87.6473642897,"(41.8771621281, -87.6473642897)"
AVENUE FOOD MAR INC,1246771,20727,18000,A,6850 W BELMONT AVE,60634,DUNNING,17,36,17031171000,170311710003022,1129966.4805599726,1920538.7303918146,41.9382373760,-87.7977603483,"(41.938237376, -87.7977603483)"
AWAMI BAZAAR & ZABIHA MEAT,68226,20954,2500,B,2340 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310205002005,1159376.8219060244,1942466.6780109804,41.9978536894,-87.6890642657,"(41.9978536894, -87.6890642657)"
B & H FOOD & GROCERY,6068,3550,4500,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,170318373001010,1155850.7566169042,1896704.1485966310,41.8723500430,-87.7032726418,"(41.872350043, -87.7032726418)"
Baltimore Food & Liquor,1446831,270755,3404,B,13322 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170315501004012,1199061.9749984262,1817112.1302290738,41.6529646117,-87.5472986528,"(41.6529646117, -87.5472986528)"
BARI,1245246,246600,2500,B,1120 W GRAND AVE,60622,WEST TOWN,24,27,17031243500,170312435001021,1168791.2989530063,1903675.7416113815,41.8912101212,-87.6555602414,"(41.8912101212, -87.6555602414)"
BERBATE FRUIT MARKET,1646036,296646,2500,B,3956 N NARRAGANSETT AVE,60634,DUNNING,17,38,17031170300,170311703001000,1132942.4846033207,1925839.4396579529,41.9527315616,-87.7866984426,"(41.9527315616, -87.7866984426)"
BIG APPLE FINER FOODS INC,4900,3297,9000,B,2345 N CLARK ST,60614,LINCOLN PARK,7,43,17031071400,170310714003003,1172948.7056671935,1916010.4922481002,41.9249661791,-87.6399260190,"(41.9249661791, -87.639926019)"
BOB'S LIQUORS & GROCERIES,957,86492,10001,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000,1142425.3265431207,1899505.1138985374,41.8802960895,-87.7524941982,"(41.8802960895, -87.7524941982)"
BOCKWINKELS,1491357,276156,7200,B,222 N COLUMBUS DR,60601,LOOP,32,42,17031320100,170313201002032,1178260.6232739312,1901977.4529888313,41.8863394160,-87.6208361500,"(41.886339416, -87.62083615)"
BOULEVARD FOOD & LIQUOR LLC,1931999,336958,3350,B,5922 W IRVING PARK RD,60634,PORTAGE PARK,15,38,17031150402,170311504022018,1136053.0143236292,1926023.8496508219,41.9531825896,-87.7752593753,"(41.9531825896, -87.7752593753)"
BROADWAY SUPERMARKET,50737,17352,15000,A,4879 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310312002005,1167467.5693081690,1932805.1043853988,41.9711711808,-87.6595809750,"(41.9711711808, -87.659580975)"
BUDGET FINER FOODS,1337515,260726,3200,B,6604 N SHERIDAN RD,60626,ROGERS PARK,1,49,17031010502,170310105021006,1167008.1671971320,1944300.9984214972,42.0027261067,-87.6609383664,"(42.0027261067, -87.6609383664)"
BURNHAM PLAZA MART,2014232,350131,2950,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,170313206002012,1176878.7874343620,1896537.8458802076,41.8714441963,-87.6260751303,"(41.8714441963, -87.6260751303)"
BUSY BEE SUPERMARKET,1974525,343785,2500,B,5659 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031670200,170316702001016,1166685.2921777351,1866951.2767541348,41.7904800194,-87.6643450657,"(41.7904800194, -87.6643450657)"
BUY -N- SAVE,62460,19735,8000,B,209 E 103RD ST,60628,ROSELAND,49,9,17031490902,170314909022003,1179510.2977121803,1836682.4142619635,41.7071353216,-87.6182417299,"(41.7071353216, -87.6182417299)"
CAESAR'S FOODS INC,13670,6312,10001,A,901 N DAMEN AVE,60622,WEST TOWN,24,32,17031242200,170312422002006,1162946.6269756580,1906024.2440419935,41.8977792769,-87.6769588663,"(41.8977792769, -87.6769588663)"
"CALABRIA IMPORTS, INC.",1357606,264103,3100,B,1905 W 103RD ST,60643,BEVERLY,72,19,17031720700,170317207001004,1165555.2824921713,1836329.4332021058,41.7064733245,-87.6693549885,"(41.7064733245, -87.6693549885)"
"CALMA OPTIMAL DELI, INC.",1991322,346718,3000,B,5155 W ADDISON ST,60641,PORTAGE PARK,15,38,17031151001,170311510011000,1141134.0089200793,1923401.7895809815,41.9458951009,-87.7566458523,"(41.9458951009, -87.7566458523)"
CARNICERIA DEL RIO,1801493,314238,3000,B,2714 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318407003012,1158513.9300933160,1889320.5898021401,41.8520347381,-87.6936969081,"(41.8520347381, -87.6936969081)"
CARNICERIA EL PORVENIR,1768971,311076,2500,B,150 E KENSINGTON AVE,60628,WEST PULLMAN,53,9,17031530100,170315301001016,1179443.1805000970,1828274.0786195400,41.6840631980,-87.6187429679,"(41.684063198, -87.6187429679)"
CARNICERIA GUANAJUATO,2069477,358374,9325,B,5250 W FULLERTON AVE,60639,BELMONT CRAGIN,19,31,17031190702,170311907023020,1140756.1800630720,1915489.2080347820,41.9241891458,-87.7582297412,"(41.9241891458, -87.7582297412)"
CARNICERIA GUANAJUATO #3,2060960,357299,9000,B,3132 N CALIFORNIA AVE,60618,AVONDALE,21,33,17031210800,170312108001001,1157122.7839310614,1920845.3084348955,41.9385697153,-87.6979459455,"(41.9385697153, -87.6979459455)"
CARNICERIA GUANJUATO #3,17340,63206,8800,B,1436 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,170312415002000,1165420.7459043048,1909810.0076175025,41.9081153739,-87.6677638335,"(41.9081153739, -87.6677638335)"
CARNICERIA JIMENEZ #2,48081,16943,19000,A,3850 W FULLERTON AVE,60647,LOGAN SQUARE,22,30,17031220701,170312207013015,1150082.9154128210,1915713.6676657829,41.9246283205,-87.7239533210,"(41.9246283205, -87.723953321)"
CARNICERIA JIMENEZ INC,1693,85292,16000,A,4204 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,170312306004000,1148051.2248360445,1910341.2429574223,41.9099252471,-87.7315572163,"(41.9099252471, -87.7315572163)"
CARNICERIA LA AZTECA,1354069,262231,2500,B,7067 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310107021002,1163376.5213784971,1947274.5019283611,42.0109629527,-87.6742146577,"(42.0109629527, -87.6742146577)"
CARNICERIA LA GLORIA,1471030,271545,6500,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316305001004,1160008.9017052460,1870722.7071781063,41.8009692763,-87.6887220987,"(41.8009692763, -87.6887220987)"
"CARNICERIA LA GLORIA NO. 2, INC.",1514813,279304,7500,B,2744 W 55TH ST,60632,GAGE PARK,63,14,17031630500,170316305003017,1158820.8491554280,1868105.5547353695,41.7938118263,-87.6931506024,"(41.7938118263, -87.6931506024)"
"CARNICERIA LA HACIENDA, INC.",1492826,276948,4000,B,3459 W 59TH ST,60629,CHICAGO LAWN,66,16,17031660400,170316604004000,1154081.8181969763,1865232.9119324526,41.7860244010,-87.7106047774,"(41.786024401, -87.7106047774)"
"CARNICERIA LA MEJOR PRODUCE, INC.",1800292,313836,4500,B,2915 N MILWAUKEE AVE,60618,AVONDALE,21,35,17031210602,170312106023005,1152283.9166516600,1919259.2190105042,41.9343143994,-87.7157719991,"(41.9343143994, -87.7157719991)"
CARNICERIA LA VILLA #2,2060542,357089,3289,B,5800 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021021,1137365.9008351532,1913858.0932083530,41.9197749010,-87.7707265258,"(41.919774901, -87.7707265258)"
CARNICERIA RICARDO,35191,15006,5000,B,4419 W DIVERSEY AVE,60639,HERMOSA,20,31,17031200200,170312002004000,1146359.1561865490,1918206.5211457592,41.9315407469,-87.7375725127,"(41.9315407469, -87.7375725127)"
CARNICERIA&FRUTERIA EL MITOTE,49322,17160,4500,B,4459 W BELMONT AVE,60641,HERMOSA,20,31,17031200100,170312001003000,1145834.3147029574,1920855.4036383205,41.9388195147,-87.7394338028,"(41.9388195147, -87.7394338028)"
CENTRAL PARK FOODS INC,13813,6373,8000,B,3604 W GRAND AVE,60651,HUMBOLDT PARK,23,26,17031231200,170312312001000,1152082.8628620578,1907654.3816119872,41.9024736738,-87.7168174653,"(41.9024736738, -87.7168174653)"
CENTRO MARKET,66257,20469,9100,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,170316304004004,1155963.7604456872,1870068.7603182210,41.7992570437,-87.7035747066,"(41.7992570437, -87.7035747066)"
CERMAK PRODUCE,53313,17784,10000,A,4800 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190200,170311902004016,1143869.8481677033,1918226.0439909615,41.9316414204,-87.7467199106,"(41.9316414204, -87.7467199106)"
CERMAK PRODUCE,1574003,286531,14000,A,4401 W ARMITAGE AVE,60639,HERMOSA,20,31,17031831200,170318312002004,1146718.7533492060,1912886.2094597316,41.9169344398,-87.7363871475,"(41.9169344398, -87.7363871475)"
CERMAK PRODUCE,1476657,273150,15000,A,1711 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,1165248.8668543329,1889420.2405128144,41.8521678636,-87.6689750407,"(41.8521678636, -87.6689750407)"
CERMAK PRODUCE,1770942,311980,17000,A,3311 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001003,1154665.2718672096,1886497.8936150398,41.8443667287,-87.7078980538,"(41.8443667287, -87.7078980538)"
CERMAK PRODUCE,1515206,279468,25000,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001000,1150549.3978722180,1869568.6744565165,41.7979918700,-87.7234437408,"(41.79799187, -87.7234437408)"
CERMAK PRODUCE,1476654,273149,29000,A,4234 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160501,170311605011009,1154249.8718380923,1928122.4799291220,41.9585967247,-87.7083095759,"(41.9585967247, -87.7083095759)"
CERMAK PRODUCE #5 LTD,1649774,298958,10000,A,3435 S ARCHER AVE,60608,MCKINLEY PARK,59,11,17031840300,170318403002016,1163434.4911698306,1881819.8370208899,41.8313499001,-87.6758478479,"(41.8313499001, -87.6758478479)"
CERMAK PRODUCE NO.4,69608,21223,17000,A,2701 W NORTH AVE,60647,WEST TOWN,24,26,17031241000,170312410002000,1158110.2173899557,1910489.4150159995,41.9101322404,-87.6946003939,"(41.9101322404, -87.6946003939)"
CHARLIES  SUPERMARKET INC.,1441898,268397,2500,B,2941 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160601,170311606012000,1155799.6223924100,1929051.3443800607,41.9611144263,-87.7025869386,"(41.9611144263, -87.7025869386)"
CHATHAM FOOD MARKET,1904290,331037,4500,B,327 E 79TH ST,60619,CHATHAM,44,6,17031440300,170314403002001,1179727.9186004677,1852659.2157454104,41.7509726753,-87.6169578802,"(41.7509726753, -87.6169578802)"
CHICAGO FOOD CORP,1169745,11429,10000,A,5800 N PULASKI RD,60646,NORTH PARK,13,39,17031130200,170311302001009,1148643.5223882992,1938042.3883606028,41.9859279924,-87.7286634185,"(41.9859279924, -87.7286634185)"
CHICAGO GROCERS,1332221,258200,2500,B,2122 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310205001013,1160870.3907480354,1942511.5624167821,41.9979458853,-87.6835687050,"(41.9979458853, -87.683568705)"
Chicago Health - Maple Street,2065274,357879,2900,B,22 W MAPLE ST,60610,NEAR NORTH SIDE,8,42,17031081100,170310811003002,1175919.2016318330,1907658.8738939352,41.9019825524,-87.6292631031,"(41.9019825524, -87.6292631031)"
CHICAGO PRODUCE,1865,368,13500,A,3500 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140200,170311402003015,1152167.1785534604,1931711.0302956756,41.9684853733,-87.7158713295,"(41.9684853733, -87.7158713295)"
CICERO DELI INC.,20884,8639,3600,B,3206 N CICERO AVE,60641,PORTAGE PARK,15,30,17031151002,170311510024009,1143769.2028091776,1920923.9679310492,41.9390466700,-87.7470219655,"(41.93904667, -87.7470219655)"
CITY GROCERY,1979483,344633,5000,B,405 N WABASH AVE,60611,NEAR NORTH SIDE,8,42,17031081500,170310815003007,1176706.4590198582,1903103.7595416445,41.8894653288,-87.6265092736,"(41.8894653288, -87.6265092736)"
CLARENDON FOOD MART INC,29515,11687,10000,A,4183 N CLARENDON AVE,60613,UPTOWN,3,46,17031031400,170310314003003,1170205.4411163253,1928028.6054156309,41.9580048015,-87.6496537356,"(41.9580048015, -87.6496537356)"
CLYBOURN MARKET,40522,15968,3500,B,2807 N CLYBOURN AVE,60618,NORTH CENTER,5,1,17031051400,170310514002008,1162477.1804368605,1918702.5181403288,41.9325791837,-87.6783274560,"(41.9325791837, -87.678327456)"
COMMERCIAL GROCERY,56894,23932,2500,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,170315101002007,1197923.0118507417,1839161.1525656910,41.7134978435,-87.5507331066,"(41.7134978435, -87.5507331066)"
CORCORANS PANTRY INC,9412,4333,4200,B,1105 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,170310307011003,1167789.1713723330,1937316.9202511870,41.9835447852,-87.6582676725,"(41.9835447852, -87.6582676725)"
