COMPANY,STORE TYPE,ADDRESS,CITY,ZIP CODE,STATE,LOCATION
Jewel-Osco,FullService,4734 N Cumberland Ave,Chicago,60656,IL,"4734 N Cumberland Ave
Chicago, IL
(41.965691877000495, -87.83681999199968)"
Jewel-Osco,FullService,7342 W Foster Ave,Chicago,60656,IL,"7342 W Foster Ave
Chicago, IL
(41.974475329000484, -87.81051002199968)"
Dominick's,FullService,1900 S Cumberland Ave,Park Ridge,60068,IL,"1900 S Cumberland Ave
Park Ridge, IL
(41.98739886700048, -87.83664048999964)"
Dominick's,FullService,6810 N McCormick Blvd,Lincolnwood,60712,IL,"6810 N McCormick Blvd
Lincolnwood, IL
(42.00486838600045, -87.71167926799967)"
Jewel-Osco,FullService,5667 W Touhy Ave,Niles,60714,IL,"5667 W Touhy Ave
Niles, IL
(42.01192397900047, -87.76923280699964)"
Target,Supercenter,6150 W Touhy Ave,Niles,60714,IL,"6150 W Touhy Ave
Niles, IL
(42.01200007900047, -87.78086593499967)"
Trader Joe's,Specialty,190 N. Northwest Highway,Park Ridge,60068,IL,"190 N. Northwest Highway
Park Ridge, IL
(42.01312280900049, -87.83252474399967)"
Costco,Wholesale,7311 North Melvina Ave,Niles,60714,IL,"7311 North Melvina Ave
Niles, IL
(42.013691709000454, -87.78176641999966)"
Aldi,Discount,7428 N Waukegan Rd,Niles,60714,IL,"7428 N Waukegan Rd
Niles, IL
(42.015936739000495, -87.80255656599968)"
Jewel-Osco,FullService,481 Busse Hwy,Park Ridge,60068,IL,"481 Busse Hwy
Park Ridge, IL
(42.01590256500049, -87.84042296799964)"
Jewel-Osco,FullService,2485 Howard St,Evanston,60202,IL,"2485 Howard St
Evanston, IL
(42.01918455400045, -87.70838714399969)"
Target,Supercenter,2209 Howard St,Evanston,60202,IL,"2209 Howard St
Evanston, IL
(42.01949112400047, -87.68504020599966)"
Jewel-Osco,FullService,7900 N Milwaukee Ave,Niles,60714,IL,"7900 N Milwaukee Ave
Niles, IL
(42.0244609180005, -87.81256099199965)"
Sams Club,Wholesale,2450 Main St,Evanston,60202,IL,"2450 Main St
Evanston, IL
(42.033678326000484, -87.70788362799965)"
Food 4 Less,FullService,2400 Main St,Evanston,60202,IL,"2400 Main St
Evanston, IL
(42.03369167200049, -87.70721634399968)"
